report_date,Diagnosis,diagnosis_count
2020-02-14,Bronchitis,1
2020-02-14,Vertigo,1
2020-02-14,Gastritis,1
2020-02-15,Dermatitis,3
2020-02-15,Sciatica,2
2020-02-15,Arthritis,2
2020-02-15,Asthma,1
2020-02-15,Viral Infection,1
2020-02-15,Vertigo,1
2020-02-15,Angina,1
2020-02-15,Gastritis,1
2020-02-16,Migraine,3
2020-02-16,Dermatitis,2
2020-02-16,Arthritis,2
2020-02-16,Sciatica,2
2020-02-16,Vertigo,2
2020-02-16,Angina,1
2020-02-16,Asthma,1
2020-02-17,Angina,3
2020-02-17,Migraine,2
2020-02-17,Sciatica,2
2020-02-17,Gastritis,1
2020-02-17,Arthritis,1
2020-02-17,Asthma,1
2020-02-18,Bronchitis,3
2020-02-18,Viral Infection,1
2020-02-18,Asthma,1
2020-02-18,Gastritis,1
2020-02-18,Migraine,1
2020-02-18,Sciatica,1
2020-02-19,Viral Infection,4
2020-02-19,Sciatica,2
2020-02-19,Vertigo,1
2020-02-19,Bronchitis,1
2020-02-20,Viral Infection,3
2020-02-20,Gastritis,3
2020-02-20,Vertigo,2
2020-02-20,Angina,1
2020-02-20,Bronchitis,1
2020-02-20,Sciatica,1
2020-02-21,Dermatitis,2
2020-02-21,Angina,2
2020-02-21,Vertigo,2
2020-02-21,Bronchitis,2
2020-02-21,Viral Infection,1
2020-02-21,Migraine,1
2020-02-21,Gastritis,1
2020-02-21,Arthritis,1
2020-02-22,Asthma,1
2020-02-22,Migraine,1
2020-02-22,Vertigo,1
2020-02-22,Arthritis,1
2020-02-22,Sciatica,1
2020-02-23,Vertigo,3
2020-02-23,Angina,2
2020-02-23,Migraine,1
2020-02-23,Arthritis,1
2020-02-23,Bronchitis,1
2020-02-24,Migraine,2
2020-02-24,Angina,1
2020-02-24,Dermatitis,1
2020-02-24,Vertigo,1
2020-02-25,Sciatica,2
2020-02-25,Migraine,2
2020-02-25,Vertigo,2
2020-02-25,Gastritis,1
2020-02-26,Viral Infection,3
2020-02-26,Dermatitis,2
2020-02-26,Angina,2
2020-02-26,Arthritis,2
2020-02-26,Sciatica,1
2020-02-27,Viral Infection,3
2020-02-27,Sciatica,3
2020-02-27,Arthritis,2
2020-02-27,Vertigo,2
2020-02-27,Dermatitis,1
2020-02-27,Angina,1
2020-02-27,Gastritis,1
2020-02-28,Sciatica,4
2020-02-28,Vertigo,2
2020-02-28,Migraine,1
2020-02-28,Bronchitis,1
2020-03-01,Dermatitis,2
2020-03-01,Arthritis,1
2020-03-01,Migraine,1
2020-03-01,Angina,1
2020-03-01,Vertigo,1
2020-03-01,Bronchitis,1
2020-03-01,Asthma,1
2020-03-02,Sciatica,3
2020-03-02,Arthritis,2
2020-03-02,Gastritis,2
2020-03-02,Migraine,2
2020-03-02,Bronchitis,1
2020-03-03,Bronchitis,4
2020-03-03,Arthritis,1
2020-03-03,Migraine,1
2020-03-03,Gastritis,1
2020-03-03,Sciatica,1
2020-03-03,Dermatitis,1
2020-03-03,Viral Infection,1
2020-03-04,Viral Infection,3
2020-03-04,Arthritis,3
2020-03-04,Sciatica,1
2020-03-04,Dermatitis,1
2020-03-04,Asthma,1
2020-03-04,Angina,1
2020-03-05,Arthritis,5
2020-03-05,Bronchitis,1
2020-03-06,Migraine,3
2020-03-06,Viral Infection,1
2020-03-06,Bronchitis,1
2020-03-07,Asthma,3
2020-03-07,Gastritis,1
2020-03-07,Dermatitis,1
2020-03-07,Vertigo,1
2020-03-07,Arthritis,1
2020-03-07,Bronchitis,1
2020-03-08,Viral Infection,1
2020-03-08,Migraine,1
2020-03-08,Dermatitis,1
2020-03-08,Bronchitis,1
2020-03-08,Arthritis,1
2020-03-09,Viral Infection,3
2020-03-09,Migraine,2
2020-03-09,Bronchitis,2
2020-03-09,Arthritis,2
2020-03-09,Sciatica,1
2020-03-09,Dermatitis,1
2020-03-09,Angina,1
2020-03-10,Sciatica,1
2020-03-10,Migraine,1
2020-03-10,Vertigo,1
2020-03-10,Arthritis,1
2020-03-11,Asthma,3
2020-03-11,Sciatica,2
2020-03-11,Migraine,2
2020-03-11,Angina,1
2020-03-11,Dermatitis,1
2020-03-11,Vertigo,1
2020-03-11,Viral Infection,1
2020-03-12,Bronchitis,1
2020-03-12,Gastritis,1
2020-03-12,Angina,1
2020-03-12,Dermatitis,1
2020-03-12,Sciatica,1
2020-03-12,Arthritis,1
2020-03-12,Migraine,1
2020-03-13,Sciatica,2
2020-03-13,Gastritis,2
2020-03-13,Viral Infection,2
2020-03-13,Vertigo,1
2020-03-13,Dermatitis,1
2020-03-13,Bronchitis,1
2020-03-13,Asthma,1
2020-03-14,Viral Infection,3
2020-03-14,Dermatitis,2
2020-03-14,Bronchitis,2
2020-03-14,Asthma,2
2020-03-14,Vertigo,1
2020-03-14,Arthritis,1
2020-03-14,Sciatica,1
2020-03-14,Migraine,1
2020-03-15,Bronchitis,3
2020-03-15,Arthritis,2
2020-03-15,Dermatitis,1
2020-03-15,Vertigo,1
2020-03-15,Viral Infection,1
2020-03-16,Asthma,2
2020-03-16,Dermatitis,1
2020-03-16,Vertigo,1
2020-03-16,Viral Infection,1
2020-03-16,Sciatica,1
2020-03-16,Gastritis,1
2020-03-16,Migraine,1
2020-03-17,Angina,4
2020-03-17,Vertigo,2
2020-03-17,Arthritis,2
2020-03-17,Migraine,1
2020-03-17,Sciatica,1
2020-03-17,Viral Infection,1
2020-03-17,Dermatitis,1
2020-03-18,Sciatica,3
2020-03-18,Migraine,1
2020-03-18,Angina,1
2020-03-18,Viral Infection,1
2020-03-19,Gastritis,2
2020-03-19,Bronchitis,2
2020-03-19,Arthritis,2
2020-03-19,Asthma,1
2020-03-19,Vertigo,1
2020-03-19,Viral Infection,1
2020-03-19,Angina,1
2020-03-20,Asthma,2
2020-03-20,Sciatica,2
2020-03-20,Migraine,1
2020-03-20,Bronchitis,1
2020-03-20,Vertigo,1
2020-03-20,Viral Infection,1
2020-03-20,Angina,1
2020-03-21,Arthritis,2
2020-03-21,Sciatica,2
2020-03-21,Viral Infection,1
2020-03-21,Angina,1
2020-03-21,Dermatitis,1
2020-03-22,Viral Infection,2
2020-03-22,Gastritis,2
2020-03-22,Sciatica,1
2020-03-22,Migraine,1
2020-03-22,Asthma,1
2020-03-23,Migraine,1
2020-03-23,Sciatica,1
2020-03-23,Viral Infection,1
2020-03-23,Vertigo,1
2020-03-23,Arthritis,1
2020-03-23,Bronchitis,1
2020-03-24,Gastritis,2
2020-03-24,Migraine,1
2020-03-24,Viral Infection,1
2020-03-24,Vertigo,1
2020-03-25,Vertigo,2
2020-03-25,Arthritis,2
2020-03-25,Gastritis,2
2020-03-25,Migraine,1
2020-03-25,Angina,1
2020-03-25,Bronchitis,1
2020-03-25,Asthma,1
2020-03-25,Dermatitis,1
2020-03-26,Asthma,3
2020-03-26,Dermatitis,3
2020-03-26,Arthritis,2
2020-03-26,Vertigo,1
2020-03-26,Angina,1
2020-03-26,Viral Infection,1
2020-03-26,Migraine,1
2020-03-27,Dermatitis,3
2020-03-27,Bronchitis,2
2020-03-27,Migraine,2
2020-03-27,Gastritis,1
2020-03-27,Vertigo,1
2020-03-27,Viral Infection,1
2020-03-28,Migraine,3
2020-03-28,Sciatica,2
2020-03-28,Viral Infection,1
2020-03-28,Bronchitis,1
2020-03-28,Dermatitis,1
2020-04-01,Gastritis,1
2020-04-01,Vertigo,1
2020-04-01,Sciatica,1
2020-04-01,Arthritis,1
2020-04-01,Asthma,1
2020-04-02,Asthma,3
2020-04-02,Bronchitis,2
2020-04-02,Dermatitis,2
2020-04-02,Migraine,1
2020-04-02,Viral Infection,1
2020-04-02,Sciatica,1
2020-04-02,Arthritis,1
2020-04-02,Gastritis,1
2020-04-03,Viral Infection,2
2020-04-03,Sciatica,2
2020-04-03,Gastritis,2
2020-04-03,Asthma,1
2020-04-03,Dermatitis,1
2020-04-03,Vertigo,1
2020-04-04,Viral Infection,3
2020-04-04,Angina,2
2020-04-04,Gastritis,2
2020-04-04,Dermatitis,2
2020-04-04,Arthritis,1
2020-04-04,Bronchitis,1
2020-04-05,Angina,2
2020-04-05,Bronchitis,2
2020-04-05,Viral Infection,1
2020-04-05,Sciatica,1
2020-04-05,Arthritis,1
2020-04-05,Gastritis,1
2020-04-05,Asthma,1
2020-04-05,Vertigo,1
2020-04-06,Sciatica,3
2020-04-06,Gastritis,3
2020-04-06,Migraine,2
2020-04-06,Arthritis,2
2020-04-06,Bronchitis,2
2020-04-06,Asthma,2
2020-04-06,Angina,1
2020-04-06,Dermatitis,1
2020-04-07,Asthma,3
2020-04-07,Arthritis,2
2020-04-07,Bronchitis,2
2020-04-07,Migraine,1
2020-04-07,Sciatica,1
2020-04-07,Angina,1
2020-04-07,Dermatitis,1
2020-04-08,Arthritis,2
2020-04-08,Viral Infection,2
2020-04-08,Migraine,2
2020-04-08,Dermatitis,1
2020-04-08,Gastritis,1
2020-04-09,Viral Infection,3
2020-04-09,Asthma,1
2020-04-09,Vertigo,1
2020-04-09,Arthritis,1
2020-04-09,Dermatitis,1
2020-04-09,Bronchitis,1
2020-04-10,Arthritis,2
2020-04-10,Gastritis,1
2020-04-10,Dermatitis,1
2020-04-10,Sciatica,1
2020-04-11,Dermatitis,2
2020-04-11,Bronchitis,2
2020-04-11,Vertigo,1
2020-04-11,Gastritis,1
2020-04-12,Viral Infection,4
2020-04-12,Vertigo,2
2020-04-12,Bronchitis,2
2020-04-12,Arthritis,1
2020-04-12,Asthma,1
2020-04-12,Angina,1
2020-04-12,Gastritis,1
2020-04-13,Angina,3
2020-04-13,Dermatitis,3
2020-04-13,Sciatica,1
2020-04-13,Bronchitis,1
2020-04-14,Sciatica,2
2020-04-14,Arthritis,2
2020-04-14,Bronchitis,1
2020-04-14,Viral Infection,1
2020-04-14,Migraine,1
2020-04-14,Dermatitis,1
2020-04-15,Dermatitis,2
2020-04-15,Sciatica,1
2020-04-15,Migraine,1
2020-04-15,Bronchitis,1
2020-04-16,Sciatica,4
2020-04-16,Dermatitis,3
2020-04-16,Migraine,1
2020-04-16,Bronchitis,1
2020-04-16,Angina,1
2020-04-17,Gastritis,1
2020-04-17,Vertigo,1
2020-04-17,Asthma,1
2020-04-17,Migraine,1
2020-04-17,Arthritis,1
2020-04-17,Angina,1
2020-04-18,Viral Infection,3
2020-04-18,Bronchitis,2
2020-04-18,Arthritis,2
2020-04-18,Dermatitis,1
2020-04-19,Viral Infection,4
2020-04-19,Arthritis,3
2020-04-19,Sciatica,2
2020-04-19,Dermatitis,2
2020-04-19,Gastritis,1
2020-04-19,Bronchitis,1
2020-04-20,Gastritis,3
2020-04-20,Angina,1
2020-04-21,Dermatitis,2
2020-04-21,Arthritis,2
2020-04-21,Viral Infection,1
2020-04-21,Bronchitis,1
2020-04-21,Vertigo,1
2020-04-21,Asthma,1
2020-04-22,Vertigo,3
2020-04-22,Gastritis,1
2020-04-22,Sciatica,1
2020-04-22,Angina,1
2020-04-22,Arthritis,1
2020-04-22,Bronchitis,1
2020-04-22,Asthma,1
2020-04-22,Migraine,1
2020-04-22,Dermatitis,1
2020-04-23,Angina,3
2020-04-23,Dermatitis,1
2020-04-23,Migraine,1
2020-04-23,Gastritis,1
2020-04-23,Viral Infection,1
2020-04-23,Sciatica,1
2020-04-24,Sciatica,2
2020-04-24,Migraine,1
2020-04-24,Dermatitis,1
2020-04-24,Gastritis,1
2020-04-24,Viral Infection,1
2020-04-25,Angina,3
2020-04-25,Bronchitis,3
2020-04-25,Viral Infection,2
2020-04-25,Arthritis,1
2020-04-25,Dermatitis,1
2020-04-25,Gastritis,1
2020-04-25,Sciatica,1
2020-04-26,Asthma,2
2020-04-26,Gastritis,1
2020-04-26,Sciatica,1
2020-04-26,Vertigo,1
2020-04-26,Bronchitis,1
2020-04-27,Migraine,2
2020-04-27,Vertigo,2
2020-04-27,Gastritis,1
2020-04-27,Angina,1
2020-04-27,Viral Infection,1
2020-04-27,Bronchitis,1
2020-04-27,Asthma,1
2020-04-27,Sciatica,1
2020-04-27,Dermatitis,1
2020-04-27,Arthritis,1
2020-04-28,Asthma,1
2020-04-28,Vertigo,1
2020-04-28,Viral Infection,1
2020-04-28,Sciatica,1
2020-05-01,Angina,1
2020-05-01,Vertigo,1
2020-05-01,Asthma,1
2020-05-01,Viral Infection,1
2020-05-01,Arthritis,1
2020-05-01,Migraine,1
2020-05-01,Bronchitis,1
2020-05-01,Gastritis,1
2020-05-02,Viral Infection,2
2020-05-02,Arthritis,2
2020-05-02,Gastritis,1
2020-05-03,Arthritis,2
2020-05-03,Angina,2
2020-05-03,Gastritis,1
2020-05-03,Dermatitis,1
2020-05-03,Bronchitis,1
2020-05-03,Asthma,1
2020-05-04,Gastritis,2
2020-05-04,Dermatitis,2
2020-05-04,Sciatica,2
2020-05-04,Viral Infection,2
2020-05-04,Vertigo,1
2020-05-04,Bronchitis,1
2020-05-04,Asthma,1
2020-05-05,Asthma,3
2020-05-05,Migraine,1
2020-05-05,Viral Infection,1
2020-05-05,Arthritis,1
2020-05-05,Gastritis,1
2020-05-06,Vertigo,2
2020-05-06,Arthritis,1
2020-05-06,Asthma,1
2020-05-06,Sciatica,1
2020-05-07,Asthma,2
2020-05-07,Bronchitis,1
2020-05-07,Dermatitis,1
2020-05-07,Viral Infection,1
2020-05-07,Gastritis,1
2020-05-07,Angina,1
2020-05-07,Sciatica,1
2020-05-07,Vertigo,1
2020-05-08,Arthritis,2
2020-05-08,Bronchitis,2
2020-05-08,Dermatitis,1
2020-05-08,Viral Infection,1
2020-05-08,Gastritis,1
2020-05-08,Asthma,1
2020-05-09,Dermatitis,2
2020-05-09,Migraine,2
2020-05-09,Asthma,1
2020-05-10,Gastritis,2
2020-05-10,Asthma,2
2020-05-10,Migraine,1
2020-05-10,Dermatitis,1
2020-05-10,Arthritis,1
2020-05-10,Bronchitis,1
2020-05-11,Migraine,1
2020-05-11,Gastritis,1
2020-05-12,Viral Infection,2
2020-05-12,Sciatica,1
2020-05-12,Asthma,1
2020-05-12,Dermatitis,1
2020-05-12,Arthritis,1
2020-05-13,Migraine,2
2020-05-13,Dermatitis,2
2020-05-13,Arthritis,2
2020-05-13,Viral Infection,1
2020-05-14,Sciatica,2
2020-05-14,Vertigo,1
2020-05-14,Angina,1
2020-05-14,Viral Infection,1
2020-05-14,Bronchitis,1
2020-05-15,Asthma,2
2020-05-15,Sciatica,2
2020-05-15,Arthritis,2
2020-05-15,Vertigo,1
2020-05-15,Viral Infection,1
2020-05-16,Viral Infection,2
2020-05-16,Dermatitis,2
2020-05-16,Vertigo,1
2020-05-16,Sciatica,1
2020-05-16,Migraine,1
2020-05-16,Angina,1
2020-05-17,Arthritis,3
2020-05-17,Bronchitis,2
2020-05-17,Sciatica,2
2020-05-17,Dermatitis,1
2020-05-17,Migraine,1
2020-05-17,Angina,1
2020-05-17,Gastritis,1
2020-05-17,Asthma,1
2020-05-18,Angina,2
2020-05-18,Arthritis,1
2020-05-18,Bronchitis,1
2020-05-18,Sciatica,1
2020-05-18,Vertigo,1
2020-05-18,Asthma,1
2020-05-19,Arthritis,3
2020-05-19,Gastritis,3
2020-05-19,Angina,2
2020-05-19,Vertigo,2
2020-05-19,Dermatitis,1
2020-05-19,Migraine,1
2020-05-20,Viral Infection,3
2020-05-20,Dermatitis,2
2020-05-20,Bronchitis,2
2020-05-20,Asthma,1
2020-05-20,Sciatica,1
2020-05-20,Migraine,1
2020-05-20,Angina,1
2020-05-20,Arthritis,1
2020-05-21,Asthma,1
2020-05-21,Dermatitis,1
2020-05-21,Sciatica,1
2020-05-21,Viral Infection,1
2020-05-21,Migraine,1
2020-05-21,Angina,1
2020-05-21,Gastritis,1
2020-05-21,Bronchitis,1
2020-05-22,Gastritis,3
2020-05-22,Dermatitis,1
2020-05-22,Angina,1
2020-05-22,Viral Infection,1
2020-05-23,Vertigo,2
2020-05-23,Bronchitis,2
2020-05-23,Asthma,1
2020-05-23,Angina,1
2020-05-23,Arthritis,1
2020-05-23,Dermatitis,1
2020-05-23,Viral Infection,1
2020-05-23,Gastritis,1
2020-05-24,Angina,3
2020-05-24,Migraine,2
2020-05-24,Sciatica,2
2020-05-24,Asthma,1
2020-05-24,Dermatitis,1
2020-05-24,Viral Infection,1
2020-05-25,Asthma,4
2020-05-25,Bronchitis,3
2020-05-25,Vertigo,2
2020-05-25,Arthritis,1
2020-05-25,Migraine,1
2020-05-25,Viral Infection,1
2020-05-26,Dermatitis,4
2020-05-26,Asthma,3
2020-05-26,Angina,2
2020-05-26,Gastritis,1
2020-05-26,Bronchitis,1
2020-05-26,Arthritis,1
2020-05-27,Sciatica,1
2020-05-27,Migraine,1
2020-05-27,Vertigo,1
2020-05-27,Bronchitis,1
2020-05-27,Dermatitis,1
2020-05-27,Arthritis,1
2020-05-28,Bronchitis,2
2020-05-28,Gastritis,2
2020-05-28,Sciatica,1
2020-05-28,Migraine,1
2020-05-28,Dermatitis,1
2020-05-28,Arthritis,1
2020-06-01,Arthritis,3
2020-06-01,Asthma,2
2020-06-01,Migraine,2
2020-06-01,Bronchitis,2
2020-06-01,Angina,1
2020-06-01,Vertigo,1
2020-06-01,Dermatitis,1
2020-06-02,Asthma,1
2020-06-02,Vertigo,1
2020-06-02,Gastritis,1
2020-06-02,Migraine,1
2020-06-02,Bronchitis,1
2020-06-02,Sciatica,1
2020-06-03,Viral Infection,3
2020-06-03,Asthma,1
2020-06-03,Arthritis,1
2020-06-03,Sciatica,1
2020-06-04,Bronchitis,3
2020-06-04,Sciatica,2
2020-06-04,Gastritis,2
2020-06-04,Migraine,2
2020-06-04,Viral Infection,2
2020-06-04,Angina,1
2020-06-04,Asthma,1
2020-06-04,Arthritis,1
2020-06-05,Angina,2
2020-06-05,Vertigo,2
2020-06-05,Viral Infection,2
2020-06-05,Asthma,1
2020-06-05,Bronchitis,1
2020-06-06,Sciatica,3
2020-06-06,Viral Infection,2
2020-06-06,Gastritis,2
2020-06-06,Bronchitis,1
2020-06-06,Migraine,1
2020-06-06,Vertigo,1
2020-06-06,Angina,1
2020-06-06,Asthma,1
2020-06-07,Bronchitis,3
2020-06-07,Gastritis,3
2020-06-07,Viral Infection,1
2020-06-07,Angina,1
2020-06-07,Arthritis,1
2020-06-07,Migraine,1
2020-06-07,Asthma,1
2020-06-07,Sciatica,1
2020-06-08,Dermatitis,2
2020-06-08,Gastritis,2
2020-06-08,Vertigo,2
2020-06-08,Asthma,1
2020-06-08,Bronchitis,1
2020-06-08,Migraine,1
2020-06-08,Sciatica,1
2020-06-09,Angina,3
2020-06-09,Sciatica,2
2020-06-09,Bronchitis,2
2020-06-09,Asthma,1
2020-06-09,Viral Infection,1
2020-06-09,Gastritis,1
2020-06-09,Migraine,1
2020-06-10,Asthma,2
2020-06-10,Viral Infection,2
2020-06-10,Gastritis,2
2020-06-10,Vertigo,2
2020-06-10,Bronchitis,2
2020-06-10,Angina,1
2020-06-10,Sciatica,1
2020-06-11,Bronchitis,4
2020-06-11,Gastritis,3
2020-06-11,Vertigo,2
2020-06-11,Sciatica,2
2020-06-11,Migraine,2
2020-06-11,Angina,1
2020-06-12,Sciatica,3
2020-06-12,Viral Infection,2
2020-06-12,Dermatitis,2
2020-06-12,Bronchitis,1
2020-06-12,Gastritis,1
2020-06-12,Asthma,1
2020-06-13,Asthma,2
2020-06-13,Bronchitis,1
2020-06-13,Arthritis,1
2020-06-13,Viral Infection,1
2020-06-13,Dermatitis,1
2020-06-13,Angina,1
2020-06-13,Sciatica,1
2020-06-13,Migraine,1
2020-06-14,Viral Infection,2
2020-06-14,Sciatica,2
2020-06-14,Bronchitis,1
2020-06-14,Arthritis,1
2020-06-14,Gastritis,1
2020-06-14,Dermatitis,1
2020-06-14,Angina,1
2020-06-14,Migraine,1
2020-06-15,Dermatitis,2
2020-06-15,Viral Infection,1
2020-06-15,Arthritis,1
2020-06-16,Viral Infection,3
2020-06-16,Arthritis,3
2020-06-16,Sciatica,3
2020-06-16,Angina,2
2020-06-16,Bronchitis,1
2020-06-17,Vertigo,1
2020-06-17,Viral Infection,1
2020-06-17,Dermatitis,1
